id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,ingles,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia,jornada,jornada_22_23,jornada_23_24,jornada_inde,jornada_inde_22_23,jornada_inde_23_24,jornada_pedra,jornada_pedra_22_23,jornada_pedra_23_24
RA-1034,2,masculino,2023,publico,7.502,8.0833333335,7.51,7.5,nao,8.223333333,10.0,2024,7.708333333,11,topazio,7.5,7.5,7.959999999999999,0.0,8.0333666666,veterano,escolar,fundamental2,True,False,em fase,1,avanco,,avanco,neutro,,neutro,avanco,,avanco
RA-1035,1,masculino,2023,publico,0.0,8.3,7.52,5.8,nao,7.78,10.0,2023,7.708333333,9,agata,4.0,7.5,5.96,0.0,6.888833333,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,avanco,,,recuo
RA-1035,1,masculino,2023,publico,9.502,9.0227272725,7.51,7.0,nao,7.92,5.0,2024,8.4375,10,ametista,6.5,7.5,6.739999999999999,-1.0,7.833495454500001,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,avanco,,avanco,recuo,,recuo
RA-1036,1,feminino,2023,publico,0.0,9.6,3.77,8.0,nao,8.336666667,5.0,2023,9.0625,11,agata,9.0,7.0,8.02,-1.0,6.970583333,ingressante,escolar,fundamental1,False,False,moderada,0,,,avanco,,,avanco,,,avanco
RA-1036,2,feminino,2023,publico,10.0,9.0890269155,7.51,7.0,nao,7.7475,10.0,2024,7.65625,12,topazio,7.0,7.0,7.279999999999999,0.0,8.2841303831,veterano,escolar,fundamental2,True,False,em fase,1,avanco,,avanco,avanco,,avanco,avanco,,avanco
RA-1037,1,masculino,2023,publico,9.0,8.4,7.52,6.7,nao,8.17,5.0,2023,8.59375,10,ametista,5.0,8.3,8.24,-1.0,7.655575,ingressante,escolar,fundamental1,True,False,moderada,0,,,,,,,,,
RA-1038,1,feminino,2023,privado,8.0,9.3,7.52,6.5,nao,8.17,5.0,2023,8.90625,10,ametista,7.5,5.5,6.959999999999999,-1.0,7.736825,ingressante,escolar,fundamental1,False,False,moderada,0,,,avanco,,,avanco,,,neutro
RA-1038,2,feminino,2023,publico,8.002,7.5438596495,7.51,8.5,nao,7.273333333,10.0,2024,7.5,11,ametista,10.0,7.0,9.24,0.0,7.9646385965,veterano,escolar,fundamental2,True,False,em fase,1,avanco,,avanco,avanco,,avanco,neutro,,neutro
RA-1039,1,masculino,2023,publico,8.0,9.9,7.52,6.2,nao,8.056666667,5.0,2023,8.125,0,ametista,6.0,6.3,6.3,-2.0,7.686033333,ingressante,escolar,fundamental1,False,False,moderada,0,,,avanco,,,recuo,,,neutro
RA-1039,2,masculino,2023,publico,8.002,9.722222222,7.51,7.25,nao,6.77,5.0,2024,7.5,13,ametista,8.0,6.5,7.459999999999999,-1.0,7.549644444400001,veterano,escolar,fundamental2,True,False,moderada,1,avanco,,avanco,recuo,,recuo,neutro,,neutro
RA-104,4,masculino,2022,publico,7.9,8.7,7.5,3.7,nao,6.708,2.5,2022,6.447916666599999,18,agata,4.8,5.8,0.3,-4.0,6.315,ingressante,escolar,fundamental2,False,False,severa,0,,avanco,,,recuo,,,recuo,
RA-104,5,masculino,2022,publico,0.0,7.7,2.52,2.6,nao,5.6275,2.5,2023,5.625,0,quartzo,3.7,1.8,2.3,-3.0,4.25,veterano,escolar,medio,True,False,severa,1,avanco,avanco,,recuo,recuo,,recuo,recuo,
